polarity,title,review,review_length
0,A TRAGEDY...,reba abandoned singing real country music stuff like sunday kind love right song reba sing crystal gayle could done wonders kind torch song rest cd terrible respect worst cut bunch bad songs,190
0,Que?,reason copy mexican songs thats right 50 cent 24 tracks spanish music case cd look legit warned,95
0,Propaganda,good film editor skew opinion artful editing make someone look like attila hun film nothing mental garbage meant cloud truth artfully done best business goebbels would proud,173
1,"Rosetta Stone V3: Spanish 1,2,3",received product promptly everything headphones/microphones product appeared new great product,94
0,Worthless,battery pack arrived following message cable included please ask salesperson details much impending business trip,113
0,I Dont Think So...,parents bought amp birthday back packed lot punch 3 days died reason amazon replaced nothing next one died week cool,116
0,Mine Didn't Last,bought year ago worked well months began leak slowly eventually hold pressure hour.threw away,93
0,Malfunction after 5 months,never imagine simple device usb hub fail however mine failed,60
0,"Five stars for the pics, -3 for the writing",'relieved see traverse city reader 's comments thought alone failing see supposed magic book 's verse legal claim byline native legend 's old hills wondering,157
0,Disappointed,drops internet connection every days requiring hard reboot.other great,70
0,The Longest Yard 2005,seen movie soundtrack music played movie,40
1,Great Shower Curtain,really like shower curtain 'll never go back rings wash occasion bought two could change time launder,101
0,New Bosch cordless system is much better.,burned four dewalt cordless drills job like dewalt color performance.i saw new bosch cordless system hardware show improvement bosch cordless line seemed much durable.panasonic cordless also outlasts dewalt job,210
0,"HORRIBLE,HORRIBLE,AND HORRIBLE!!!!!!!!!!!!!!!!!!!!!!!!!!!!",dumb person buy gay cd oh yea regret buy,40
1,"If you're lookin' for ""Joseph's Dream"".....",still folks seeking joseph 's dream cut cd issue album available cassettenobody knows,85
0,Ithoughts,bought stool 6 months ago casters roll well seat broke piece garbage buy,72
1,Magic Blind,pretty baroque style magic blind makes easy blinds using regular curtain rod,76
0,"Great acoustic guitar, horrible vocals",guitarwork great however vocals mismatched style music cd pretty much unbearable dont think 'll ever listen,107
1,These floating loungers are really nice!,boyfriend purchased two float canal near house use bungee cord connect together handles float along enjoying drinks cup holders work though shaped bit oval,155
0,Better Thank Beauty,information book outdated useless suggestions right laughable age,65
0,no,sorry many words let kids read deleted daughters kindle sorry like,66
0,Why,people buy junk borrowed 'd assumed would also seen concert much better must lot girls giving 5 stars since mainstream female dj.if like deep dish sassha john digweed nick warren sander kleinenberg even tiesto waste money,221
0,Disappointing - no real secrets here,title misleading techniques emotional tips old news expected fresh new strategies rather rehash known,101
0,Bias,personally like bernard goldberg book boring totally repetitious must confess went sleep couple times finally finish seems bernie wanted make bucks really would like get mine back nothing new,191
0,"So bad, not even rated",brighthand conducted test popular screen protectors product n't even make top five list good,92
0,Code 10 - means no joy,even start go hardware installer xp may pcmcia controller sony vaio bottom line n't work laptop therefore useless,113
0,It leaks...,number one quality shaker n't leak oxo leaks dissappointed brand usually makes good products used returned,106
1,Pick this up!,album trae good gets album kicks great intoduction piano instrumental almost every song album filled amazing lyrics trae well guest appearances include bun b jay'ton billy cook z-ro others complaint album dvd work players,221
1,Nice lid,daughter wanted cast iron skillet christmas thought would nice throw lid well fast service nice looking item,108
1,My family's kinda teddy bear,saw theater home son 's christmas list mark walberg seth rogan needs said viewer warning prudish,96
1,Great desktop mic,hands best desktop microphone owned thus far use skype rosetta stone google voice three work wonderfully voice quality clear understandable,139
0,"This movie was not released, it escaped",one worst movies time bad script bad dialogue bad acting thing good end -no suffering,85
0,Same as orignal Simulator,microsoft solved problem allowing player view runway.airports look like real ones paid 65.00 dollars feel big improvement older version,135
1,book review,three weeks brother one best books read long time left thinking life going interactions two brothers real life events fiction embellishment life,144
0,Better for Children under the age of 3,bought book preparation business trip taking gone week really thought would besides go away come back basically extent text younger children perfect three year old bored page 2,176
1,It was a quick fix.,book quick fix actions characters unusual really enjoy mscl suggest get book,76
1,Good HDTV Antenna,able get 16 channels charlotte south nc channels 70-80 strength good enough get consistent picture try place near window second floor improve chances good reception please far price/performance,193
1,"Fantastic music, and plot",son 6 enjoying great music classic series would recommend fans yo gabba gabba programs,86
0,Poor Quality,used mop 2 dozen times normal use swivel head collapsed cracked apart warranty called reliable new part plus shipping almost half cost entire new unit well built product choose something else,191
1,OH YEAH!,monte montgomery blow away think like acoustic guitar 'll love listening montgomery uses instrument like also highly recomend seeing live oerformance austin city limits,168
0,"If you enjoy reading about ex high school football plays and players this is the book for you. If not, don't buy - rather stupid",enjoy reading ex high school football plays players book enjoy reading 30yr olds sitting bleachers remembering former glories book enjoy good plot story line book,162
0,Toxic Trash,book full pure toxic venom n't equate humor sounds like george hates world life general maybe anger management therapy would help write book 's bit positive palatable funny,172
0,HA HA HA HA HA!,saw movie 12 scary bloody gory want gore see second one way gory one moments would give jolt heard based true story bull liked frankin girl bookin wood frankin cut half see well scared hell,189
1,Close but not perfect..........,song selection sound recording mastering good essential songs missing collection would made complete,100
1,House 5,love even though seen episodes love watch great show,52
0,Didn't charge the IPod shuffle,work connected electric charger let charge work tried connect pc pc nto recognize device,88
1,One of Jeff Foxworthy's Best!,bought album today undoubtably one jeff foxworthy 's best even includes introduction encore larry cable guy git-r-done,118
1,worth the price,ultra ii worth extra cost upgrade basic card use pocket digital camera take lot pictures often rapid sequence satisfied card,124
0,Faulty merchandise,one handles broken luggage ripped first airline trip first unsatisfactory purchase amazon,89
0,Does Nothing,using shen min hair nutrient 6 months done absolutley nothing even slow hair loss expensive useless,99
1,SheWore a Yellow Ribon,dvdhas agood story line however sound trackis raspy music hardly recognizeable would appreciate replacement.wilburwib msn.compurched fromm amazon aug,149
0,Mosquito magnet is a waste of a lot of money,bought mosquito magnet less 1 year ago gas line eaten squirrels covered warranty costs 130 n't buy mammals yard n't even get rid mosqitoes working,146
1,These is my Words,great great book.would recommend strongly page turner able put,62
0,defective player,first tried cd player lid would close therefore way play cd continually hold lid sent back low stars defectiveness,114
1,Cutting to the Chase,electric knife works beautifully used thanksgiving turkey made carving task easy beautiful clean thin cuts highly recommend knife however added shipping costs expect save anything could buy knife set target,206
0,Audio Quality is awful,believe criminals foisted upon us mix awful imagine even mastered one unbelievable rip sad joe cocker gets screwed episode life,127
0,wrong cd,box set one cd fav martian cd.it weird latin female singer want happy overall order,83
1,WOW,still using great confidence high quality leather continue protecting q,71
0,"An okay read, but fun.",fun book main characters rep melissa itinerary references weakness times literary references occasionally seem forced get way story complete implausibility plot worth look mood something light test memory literature,215
0,Do not listen to this book!!!!,would go far place blame upon author however story telling heavy skewed writers favor please consider book representative life legion 2reg,138
0,Razzie worthy garbage!,movie awful even funny dialogue horrible acting talent put movie beyond help.if agree worst excuse movie vote yes lowlife disagrees vote thank,142
1,Really like this wallet,thing like wallet space everything two compartments lots room credit cards cash checkbook photos etc downside remembering zippered compartment contains items compact wallet quite large fit small purse.all happy wallet,217
0,I'll wait for the original theatrical edition blu rays.,ridiculous mess excellence pursuit perfection lucas respect fans 'll wait original theatrical edition blu rays,110
0,I did not receive my order. Either replace my order or I want my money back.,receive order want either order replaced want money back,56
1,Very good webcam for the money,webcam works well price amazon real bargain compared walmart wanted nearly double video quality good setup easy software comes works well lots special effects would buy,168
1,fantastic solution for a 1 year old,1 year old sure well good problem solving puzzles crazy outlet plugs worked 30 seconds system requires 2 min screwdriver create outlets cover wandering covers keep track huge fan used outlet needs,196
1,Downton Abbey,great series addictive character casted well appreciate conservative views hard come day age,92
1,Pretty good,overall entertaining movie little disappointing read book good never less good movie,84
1,wheelchair for mom,glad bought chair mom stubborn purchasing even though really needs help take shopping places needs go involve walking handle price right easy put car easy unfold,161
1,sons of anarchy season 4,loved sons anarchy season 4 action packed left desire see season 5,66
0,Take it with a pinch of salt,know good number women born raised france heavy women countries come sahpes sizes book fun reality read take seriously,118
1,my first pocket amp,honestly n't know expect worked know ultra static high pitch squealing guitar amp never heard regular amp.who knows basically muscled passed squeals sounds great squeals distortion settings clean great,201
1,Isabelle est grand!,listened music album isabelle 's web site really impressed music voice even speak understand french certainly appreciate talent 'll purchase cd even though expensive,165
1,Review of Essence 5300,best toothbrush used arm brush thin curved brush oval square easy reach back teeth,82
0,Not What I Thought,ordered thought story petra basically wasted time money bad looking short story petra buy another book one ball someone else 's court,133
0,Littermaid Tent,product definitely worth money spent concept great however tent stay least little pressure pops holes collapses better way attach product,137
0,Not even worth looking at,ordered 3 days ago showed quick putting ps2 hellish doesnt even stay peels right back off.i even added double sided tape worked whole 10 seconds fell back,154
1,Not like any other career-choice book!,take short tests discover strengths weaknesses compare scored successful people love jobs chances choose career list love job get book discover best build path take lifetime job satisfaction,190
0,HORRIBLE!!,want n't wash washing first time began fall apart n't waste money blankets,74
0,No appeal at all,find recording appeal whatsoever performances boring extreme singing unsubtle like person screaming full hour painful hour listening,132
0,Not Ativa Dandelion tea,ativa dandelion tea one feels little weird honestly suggest,59
1,AWSOME!,book awsome fun sad hay lin 's grangma dies elyon completely vanished except middle book w.i.t.c.h saw elyon walk right wall book comic twelve portals .it one favorites really think read,186
1,Would order again,order came quickly condition described would definitely order satisfied order,77
1,ONLY THE FINEST,prado museum one greatest museums world holdings amazing minute enter overwelmed suggest everybody visit least lifetime institution,131
0,sexist guid in film language,would good guid even perfect students film almost examples would given basis nude female running around usually well-dressed male,129
0,a condemnation of the U.S. and a support for communism,schrecker left-wing liberal flower child holdover 1960 's neglects realize communism aggressive threat u.s freedom democracy yes life cold war research extensive distorts facts way makes conclusions perverse,207
1,happy with the straight forward preformance of this product,recommend product without reservation met needs easy use,56
1,Consistent Results,caliper yields consistent results set tension spring however seems like may much resistance yields much lower body fat percentage mirror would reflect regardless would great tracking time,187
1,Good Value,easy install hardware included replaces lights place since house built 7 years ago light big box store failed within year,121
0,Don't bother,word warning anyone considering purchasing cd bought primarily dennis coffey 's scorpio hoping find funky 70s-80s instrumentals many instead strange hodge-podge tunes really belong together needs hear song tequila,213
0,too crumbly and dry,overall flavor cookies ok texture crumbly somehow manage dry even though slightly moist time also nine cookies per box,118
1,If u don't like bsb then shut up!!,love backstreet boys every song sung 've album unfortunately people think so.is aj 's problem nick got arrested.ppl gr8 plz appreciate,134
0,Poor Quality,used 30 broke socket little force first time used,49
1,Excellent anatomy text for Part I ophthalmology exam,excellent book start studying clinical anatomy eye forgot anatomy time left med school snell 's anatomy book gave concise useful overview anatomy eye useful clinical correlations end chapter found best parts book,212
0,Cheap,gift santa 3 1/2 year old son parts tow truck police bicycle came right within first hour son played opening christmas morning good quality,139
1,Good Book,strongly recommended book vendor great book us understand really,64
0,This is NOT a panasonic Battery!,expensive knock-off customer service acknowledges knock-off buy cheaper knock-off buy real panasonic battery another company take responsibility product claim avoid company,172
0,A not so scary movie,sarah main character aka vilan plays stalker kinda person however lead movie meaning see cover film lacks gore however graphic scenes worth rental buy unless like dead hore,172
0,Disappointed,slang foreign word phrases common words missing-bought gift daily crossword fanatic get hear missing one occasion give miss,123
0,this thing sucks,thing n't even work contacted manufactuarer anything n't waste money time never buy company either,98
1,Best Ever Underwear,snap pair underware comfortable pair underwear ever worn provides best total support wife bought thought look gay got show mid section boy surprised comfort never wear hanes never experienced comfortable support,211
1,Excellent book,person read foxfire series books enjoy compilation recipes books book well put together lots pictures intersting facts people gave recipes enjoy,144
1,the best,movie one best movies ever seen bought dvd loved every minute also saw movies wife thought lindsay lohan extremely pretty film woul 'd rated ten stars allow five,161
0,Wonderful... Except the LCD Readout,purchased product first came lcd panel began fail shortly purchase yet like phone much purchased several reports dualphone lcd panel replaced unfortunately still key failure point replace phone toss garbage,206
0,cuing where?,time time give workout try step always get upset warm trows says double know suppose double plus side sweat lot squats lunges also includes ab section disappointed wish would saved money different firm workout,209
1,Durability,leash held like champ almost wear tear looks nice say,53
1,Probebly the best love story ever written!!!,never thought book bring actual tears eyes book never felt love partner like finishing book.what unique love story spreads time.must read,137
1,Unbelievable,cd incredible guys super talented saw radiohead woodlands tx first show new tour played nearly songs album rocked music unbelievable whether cd live certainly top ten time fav cd,178
0,Urrrrgh!!!!! Waste of money and time....,really bad reviewers gave lowest rating collectively right attributes b grade piece predict even make campy category lost intentionally sure bowels time,152
0,A guide -- but not creative,bit disappointed lack creativity book since supposed guide creative giving find 2 ideas creative plan using,107
0,Disappointing!,books hannah swensen series far worst much mystery story ends pick book thinking decently long find half recipes sure going continue read anymore disappointing,159
0,These mangoes taste awful and smell even worse,opened first package excited tasted awful got whiff smells even worse returning,79
0,Not happy with this item,really work well longer curly hair straighten hair happy product,64
0,Good until one side stopped working,8 months one speaker stopped working others reported great running.i expect headphones last much longer would buy product,121
0,Board Book,cute made well last long already flimsy binding given grandson yet came way,75
1,the best,petite perfect perfect length fit great excercise worth price breathable fabric n't fade,88
0,It was good until......,excelent mouse high precision usefull confortable last 1 year treated well punch anythin like one day internet mouse turn never turn 3 computer im engry,152
1,One of the best,pc drill/driver got plenty power excellent handling nice case happy overall,75
0,"Nice design, but not sturdy enough",like many others headphones 6 months one side stopped working replacement pair broke half little pressure work good exercise sturdy enough recommend,148
0,BORING BORING BORING,usually love mr king 's stories one bored tears always one finishes book matter good bad deleted one kindle half way n't torture,128
1,Another quality Irwin tool.,stripper/crimpers work great needed new set alot rewiring car working decided try performed flawlessly would purchase ever needed,129
1,Please know there isn't a book,book set daughter loves listen stories falls asleep love relaxing bed instead stuff trying go sleep always loved frog toad stories kid love passing stories kids,160
0,DO NOT BUY,thought product would amazing applied onto nails burns dont know feels like fingernails fire waste money product,112
1,My tool vacuum--A Toy?,wrong category good deal much better price anywhere could find thanks,69
